lat_bin,lon_bin,observed_incidents
41.81,-87.695,2661
41.925,-87.77,2657
41.74,-87.64,2655
41.815,-87.635,2655
41.885,-87.67,2649
41.92,-87.755,2647
41.94,-87.76,2645
41.935,-87.745,2643
42.02,-87.68,2643
41.68,-87.645,2642
41.89,-87.65,2637
41.935,-87.785,2635
41.93,-87.75,2632
41.87,-87.73,2631
41.915,-87.745,2631
41.95,-87.66,2627
41.675,-87.63,2626
41.995,-87.695,2624
41.825,-87.605,2619
41.84,-87.62,2615
41.92,-87.75,2609
41.905,-87.65,2608
41.885,-87.775,2602
41.93,-87.7,2602
41.95,-87.655,2601
41.78,-87.63,2600
41.94,-87.75,2594
41.79,-87.605,2590
41.84,-87.73,2582
41.795,-87.635,2579
41.955,-87.71,2574
41.915,-87.735,2569
41.96,-87.705,2561
41.995,-87.655,2556
41.82,-87.61,2553
41.885,-87.74,2550
41.74,-87.565,2545
41.71,-87.6,2539
41.76,-87.6,2534
41.855,-87.655,2531
41.91,-87.665,2531
41.92,-87.7,2525
41.715,-87.535,2522
41.935,-87.765,2522
41.93,-87.775,2521
41.88,-87.665,2520
41.93,-87.76,2518
41.685,-87.65,2513
41.97,-87.695,2504
41.96,-87.755,2498
41.78,-87.72,2497
41.715,-87.645,2496
41.74,-87.545,2494
41.755,-87.61,2484
41.885,-87.655,2483
41.99,-87.665,2481
41.695,-87.61,2480
41.845,-87.7,2478
41.765,-87.605,2475
41.69,-87.61,2470
41.92,-87.77,2468
41.955,-87.7,2465
41.975,-87.68,2462
41.98,-87.67,2456
41.96,-87.72,2454
41.895,-87.65,2452
41.88,-87.655,2433
41.73,-87.65,2432
41.945,-87.69,2429
41.9,-87.71,2428
41.93,-87.675,2428
41.925,-87.795,2427
41.73,-87.64,2419
41.955,-87.72,2419
41.9,-87.645,2414
41.92,-87.725,2414
41.73,-87.585,2411
41.72,-87.655,2410
41.655,-87.61,2408
41.71,-87.63,2405
41.92,-87.665,2405
41.97,-87.67,2402
41.895,-87.775,2400
41.74,-87.6,2397
41.91,-87.66,2397
41.715,-87.655,2394
41.74,-87.585,2388
41.905,-87.77,2386
41.915,-87.65,2385
41.915,-87.675,2381
41.995,-87.685,2379
41.715,-87.565,2378
41.94,-87.66,2369
41.84,-87.65,2366
41.975,-87.67,2363
41.695,-87.655,2361
41.755,-87.57,2361
41.79,-87.64,2349
41.97,-87.7,2348
41.895,-87.69,2346
41.82,-87.63,2345
41.72,-87.66,2342
41.91,-87.63,2342
41.965,-87.69,2341
41.74,-87.655,2339
41.85,-87.735,2339
41.83,-87.645,2338
